Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Exchange
b. Phone Switched Transport Network
c. Public Available Telephone Network
d. Public Switched Telephone Network
e. Public Switched Telephone Exchange
",,d,"d,e",,"The correct terms for POTS, or Plain Old Telephone Service, are Public Switched Telephone Network (PSTN) and Public Switched Telephone Exchange. Option 'd' (Public Switched Telephone Network) and option 'e' (Public Switched Telephone Exchange) accurately represent the common terms used to refer to traditional landline telephone services. Options 'a', 'b', and 'c' do not accurately represent the standard terminologies associated with POTS.",[],0,5_connecting_to_the_internet,0.9,0.9997914004184189,0.6000000000000001
72,A baud rate is a measurement of the number of ______________________.,"a. bytes that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bits that can be sent across a telephone line every minute
",,c,c,,"A baud rate is a measurement of the number of signal or symbol changes that occur per second. It is not directly related to the number of bytes but rather to the rate of transmission of signal elements (symbols or pulses). Each baud represents a signal change per second, which could convey multiple bits depending on the modulation technique used (like in the case of QAM - Quadrature Amplitude Modulation). Therefore, the correct option is bits that can be sent across a telephone line every second.","['https://www.lifewire.com/baud-definition-817988', 'https://www.computerhope.com/jargon/b/baud.htm']",1,5_connecting_to_the_internet,0.9,0.9999853828508316,1.0
73,What system did Duke grads build that is still in use today?,"a. PSTN
b. POTS
c. DSL
d. USENET
",,d,d,,The correct option is d. USENET. USENET is a worldwide distributed discussion system that was developed by Duke University graduates Tom Truscott and Jim Ellis in 1979. It is still in use today for sharing information and files among users.,['https://en.wikipedia.org/wiki/Usenet'],1,5_connecting_to_the_internet,0.9,0.9928512001072648,1.0
74,Which device is used to transfer data across a dial-up connection?,"a. USENET
b. Modem
c. Ethernet cables
d. ATM
",,b,b,,The correct device used to transfer data across a dial-up connection is a modem. Modems are essential for converting digital data from a computer into analog signals that can be transmitted over analog networks like traditional phone lines used in dial-up connections.,[],1,5_connecting_to_the_internet,0.9,0.9999993295729248,1.0
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Modulating electrical charges
b. PSTN
c. Audible wavelengths
d. Baud rates
",,c,a,,"Modems work by modulating digital data from computers into analog signals that can be transmitted over Plain Old Telephone Service (POTS) lines. This process involves converting the digital signals into varying electrical charges that represent the data, allowing it to be transmitted over the analog POTS lines.",[],0,5_connecting_to_the_internet,0.9,0.9994134194057028,0.0
76,T1 is short for __________.,"a. Transportation System 1
b. Transmission 1
c. Transmission System 1
d. Transportation 1
",,c,c,,"In computer networking, T1 refers to a digital carrier facility used to transmit data. T1 lines have a transmission rate of 1.544 megabits per second (Mbps), and the 'T' stands for 'Transmission.' Therefore, the correct expansion for T1 is Transmission System 1.",[],1,5_connecting_to_the_internet,0.9,0.8542041177448942,1.0
77,How fast is a T1 line?,"a. 44.763 Mb/sec
b. 128 Mb/sec
c. 1 Mb/sec
d. 1.544 Mb/sec
",,d,d,,"A T1 line operates at a speed of 1.544 Mb/sec. This speed is a standard for T1 lines, providing 24 channels at 64 Kbps each, totaling 1.544 Mbps.",['https://www.webopedia.com/definitions/t1/'],1,5_connecting_to_the_internet,1.0,0.9999968263007362,1.0
78,Select all statements that are true of cable internet connections.,"a. They're shared bandwidth connections
b. They're dial-up connections
c. They're broadband connections
d. They're wireless connections
",,"a,c","a,c",,"a. Cable internet connections are shared bandwidth connections, meaning the available bandwidth is shared among multiple users in the same neighborhood.
c. Cable internet connections are broadband connections, providing high-speed internet access over cable television lines.",[],1,5_connecting_to_the_internet,0.9,0.999997660724136,1.0
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. LCP
b. Compression
c. FCS
d. NCP
",,"a,d","a,d",,"The correct subprotocols for PPP (Point to Point Protocol) are LCP (Link Control Protocol) and NCP (Network Control Protocol). LCP is responsible for establishing, configuring, maintaining, and terminating the point-to-point connection. NCP is used to negotiate optional configuration parameters and facilitate network layer protocol configuration over the PPP link. Compression and FCS are not subprotocols of PPP.",['https://tools.ietf.org/html/rfc1661'],1,5_connecting_to_the_internet,0.9,0.6464477715964867,1.0
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. DSLAM
d. FTTX
",,a,a,,"The demarcation point for fiber technologies is called ONT (Optical Network Terminal). ONT is the device that terminates the fiber optic line in the customer's premises and converts the optical signal into electrical signals for voice, data, and video services within the home or business.",[],1,5_connecting_to_the_internet,0.9,0.9999410407211666,1.0
