Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,"The term POTS, which stands for Plain Old Telephone Service, is also known as the Public Switched Telephone Network (PSTN). It refers to the traditional landline telephone service.",['https://en.wikipedia.org/wiki/Plain_old_telephone_service'],1,google_5_connecting_to_the_internet,0.95,0.9999502188991200
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,"A baud rate is a measurement of the number of signal or symbol changes that occur per second. It is not directly related to the number of bits or bytes but rather the rate of change of the signal. Each symbol may represent more than one bit, so baud rate and bits per second are not the same.",['https://www.lifewire.com/baud-definition-817888'],1,google_5_connecting_to_the_internet,1,0.9999918197754580
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"The system that Duke grads built and is still in use today is USENET, which is a worldwide distributed discussion system available on computers. It was developed in 1979 by Steve Bellovin, Tom Truscott, and Jim Ellis at Duke University.",['https://en.wikipedia.org/wiki/Usenet'],1,google_5_connecting_to_the_internet,1,0.99903624165368
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,The device used to transfer data across a dial-up connection is a modem (modulator-demodulator). It modulates digital data from a computer into analog signals for transmission over telephone lines and demodulates incoming analog signals back into digital data.,['https://www.webopedia.com/DidYouKnow/Hardware_Software/Modem_Cable_DSL/what-is-a-modem.html'],1,google_5_connecting_to_the_internet,1,0.9999977799274640
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,c,,Modems modulate digital data from computers into analog signals that can be transmitted over the Public Switched Telephone Network (PSTN) using varying electrical charges.,['https://www.informit.com/articles/article.aspx?p=170961&seqNum=3'],0,google_5_connecting_to_the_internet,0.95,0.9999912237625110
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1",,c,a,,T1 is short for Transmission 1. It refers to a digital transmission link that operates at 1.544 Mbps.,['https://www.techopedia.com/definition/25267/t1'],0,google_5_connecting_to_the_internet,1,0.9266698460335430
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec",,b,b,,"A T1 line operates at a speed of 1.544 Mb/sec. It is a dedicated digital communication link that carries data, voice, and video at this specific rate.",['https://www.lifewire.com/what-is-a-t1-line-3426709'],1,google_5_connecting_to_the_internet,1,0.999992773397112
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"b. Cable internet connections are broadband connections, providing high-speed internet access through the use of a cable modem.
d. Cable internet connections typically operate on a shared bandwidth setup where multiple users in the same area share the overall bandwidth capacity.","['https://www.lifewire.com/definition-of-cable-modem-817884', 'https://www.xfinity.com/support/articles/cable-internet']",1,google_5_connecting_to_the_internet,1,0.999999612774775
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,d",,"The subprotocols for PPP (Point to Point Protocol) include Link Control Protocol (LCP) and Network Control Protocol (NCP). LCP is responsible for establishing, configuring, and testing the data link connection, while NCP is used to negotiate optional configuration parameters and facilitate network layer protocol configuration.","['https://www.geeksforgeeks.org/point-to-point-protocol-ppp/', 'https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/10230-ppp-lcp.html']",1,google_5_connecting_to_the_internet,1,0.9998169013261090
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,The demarcation point for fiber technologies is typically referred to as ONT (Optical Network Terminal). ONT is the device that terminates the fiber optic line in the customer's premises and converts the optical signal into electrical signals for use within the premises.,['https://www.lifewire.com/what-is-an-ont-817883'],1,google_5_connecting_to_the_internet,0.95,0.990190232769649
81,What does WAN stand for?,"a. Wireless Local Area Network
b. Wireless Area Network
c. Wired Area Network
d. Wide Area Network
",,d,d,,"WAN stands for Wide Area Network, which is a network that covers a broad area, such as across cities, countries, or even globally.",['https://www.cloudflare.com/learning/network-layer/what-is-a-wan/'],1,google_5_connecting_to_the_internet,1,0.9999943230348140
82,"In a WAN, what is the area between a demarcation point and the ISP's core network known as?","a. a local loop
b. a Local Area Network
c. A local link
d. An access point
",,a,a,,"In a WAN (Wide Area Network), the area between a demarcation point (where the responsibility shifts from the service provider to the customer) and the ISP's core network is known as a local loop.",['https://www.cloudflare.com/learning/network-layer/what-is-a-wan/'],1,google_5_connecting_to_the_internet,1,0.9999317434295860
83,A point-to-point VPN is also known as a ______________.,"a. port forwarding VPN
b. one-to-many VPN
c. data link VPN
d. site-to-site VPN
",,d,d,,A point-to-point VPN is commonly referred to as a site-to-site VPN because it connects two separate networks securely over the internet.,['https://www.cloudflare.com/learning/security/glossary/what-is-site-to-site-vpn/'],1,google_5_connecting_to_the_internet,1,0.9999801379802530
84,Who handles sending data from one site to another?,"a. T-carrier line
b. CTO
c. ISP
d. VPN
",,c,c,,The Internet Service Provider (ISP) handles sending data from one site to another by providing the necessary network infrastructure and connectivity between different sites.,['https://www.cloudflare.com/learning/network-layer/what-is-an-isp/'],1,google_5_connecting_to_the_internet,1,0.999992773397112
85,How many address fields does an 802.11 header contain?,"a. 1
b. 4
c. 2
d. 3",,b,c,,An 802.11 header contains two address fields: one for the destination address and one for the source address.,"['https://www.geeksforgeeks.org/wireless-communication-set-5/', 'https://www.tutorialspoint.com/802_11_wireless_lan.htm']",0,google_5_connecting_to_the_internet,1,0.999995276659155
86,What are wireless channels?,"a. a collision domain
b. a point-to-point wireless connection
c. an example of an ad-hoc network
d. Individual, smaller sections of the overall frequency band used by a wireless network
",,d,d,,"Wireless channels refer to individual, smaller sections of the overall frequency band used by a wireless network to transmit data. These channels help to avoid interference and enable multiple devices to communicate simultaneously.",['https://www.lifewire.com/definition-of-channel-817888'],1,google_5_connecting_to_the_internet,0.95,0.9999847868417210
87,Which of the following frequencies do wireless networks typically operate on? Select all that apply.,"a. 2.4Ghz
b. 1.544Ghz
c. 5Ghz
d. 88Mhz",,"a,c","a,c",,Wireless networks typically operate on frequencies of 2.4GHz and 5GHz. These frequencies are commonly used for Wi-Fi networks.,['https://www.lifewire.com/wifi-frequencies-explained-818208'],1,google_5_connecting_to_the_internet,1,0.9999849508369100
88,WPA3 was built with the intention of replacing which protocol?,"a. WPA2
b. WLAN
c. WEP
d. IEEE 802.11",,a,a,,"WPA3 was designed to replace WPA2 as the latest security protocol for Wi-Fi networks, providing enhanced security features and stronger encryption methods.",['https://www.wi-fi.org/discover-wi-fi/security'],1,google_5_connecting_to_the_internet,1,0.9999629731405110
89,An 802.11 frame contains a number of fields. Which field describes the version of 802.11 that is being used?,"a. Sequence control
b. Frame control
c. Address
d. Duration
",,b,b,,"The field that describes the version of 802.11 being used is the Frame control field. It contains information about the frame type, subtype, and version of 802.11 being used.","['https://www.geeksforgeeks.org/802-11-mac-protocols/', 'https://www.tutorialspoint.com/ieee_802.11.htm']",1,google_5_connecting_to_the_internet,0.95,0.9999862172649830
