Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
179,"When APs are placed at different geographic locations, they can all be interconnected by a switched infrastructure. The 802.11 standard calls this an extended service set (ESS).","a. TRUE
b. FALSE
",,a,a,,,[],1,chapter10_wireless_networks,1,1
180,A lightweight access point in which one of the following architectures participate?,"a. Light-MAC
b. Tunnel-MAC
c. Big-MAC
d. Split-MAC
",,d,d,,,[],1,chapter10_wireless_networks,1,1
181,Which of the following controller ports is used to connect to a peer controller for high availability (HA) operation?,"a. Service port
b. Distribution system port
c. Redundancy port
d. Console port
",,c,c,,,[],1,chapter10_wireless_networks,1,1
182,Which of the following wireless security tools is used to protect the integrity of data in a wireless frame?,"a. MIC
b. WIPS
c. WEP
d. EAP
",,a,a,,,[],1,chapter10_wireless_networks,1,1
183,Wi-Fi is based on ________________ IEEE standards.,"a. 802.2
b. 802.1
c. 802.12
d. 802.11
",,d,d,,,[],1,chapter10_wireless_networks,1,1
184,Which of the following bridges can be used to provide wireless connectivity to a non-wireless device?,"a. Wireless repeater
b. Workgroup bridge
c. Transparent bridge
d. Adaptive bridge
",,b,b,,,[],1,chapter10_wireless_networks,1,1
185,Which controller interface type maps a WLAN to a VLAN?,"a. Management interface
b. Redundancy management
c. Virtual interface
d. Service port interface
e. Dynamic interface
",,e,c,,,[],0,chapter10_wireless_networks,1,1
186,Which is the most preferred and secure way of connecting to a WLC GUI to configure a new WLAN?,"a. SSH
b. HTTP
c. HTTPS
d. FTP
e. None of the above
",,c,c,,,[],1,chapter10_wireless_networks,1,1
187,The maximum configurable number of WLANs on a controller is __________________.,"a. 5
b. 152
c. 251
d. 512
",,d,d,,,[],1,chapter10_wireless_networks,1,1
188,Which of the following IEEE 802.11 Wi-Fi standards use the 5 GHz band? (Choose all that apply),"a. 802.11
b. 802.11b
c. 802.11g
d. 802.11a
e. 802.11n
f. 802.11ac
g. 802.11ax
",,"d,e,f,g","d,f",,,[],0,chapter10_wireless_networks,1,1
189,Wi-Fi commonly uses the 2.5GHz and __________________ GHz bands.,"a. 5
b. 3
c. 1
d. 4
",,a,a,,,[],1,chapter10_wireless_networks,1,1
190,"Choose the term that best describes a Cisco wireless access point that operates in a standalone, independent manner.","a. Standalone Access point (AP)
b. Autonomous Access Point (AP)
c. Independent Access Point (AP)
d. Cisco Access Point (AP)
",,b,b,,,[],1,chapter10_wireless_networks,1,1
191,"You are creating a new WLAN with the controller GUI, which of the following parameters are necessary? (Choose two)","a. VLAN number
b. SSID
c. Interface
d. BSSID
e. IP subnet
",,"b,c","b,c",,,[],1,chapter10_wireless_networks,1,1
192,Which one of the following is a wireless encryption method that is not recommended for use due to vulnerability issues?,"a. Advanced Encryption Standard (AES)
b. Wi-Fi Protected Access (WPA)
c. Wired Equivalent Privacy (WEP)
d. Extensible Authentication Protocol (EAP)
",,c,c,,,[],1,chapter10_wireless_networks,1,1
193,Which of the following IEEE 802.11 Wi-Fi standards use the 2.4 GHz band? (Choose all that apply),"a. 802.11
b. 802.11b
c. 802.11g
d. 802.11a
e. 802.11n
f. 802.11ac
g. 802.11ax
",,"a,b,c,e,g","a,b,c",,,[],0,chapter10_wireless_networks,1,1
