Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,"POTS (Plain Old Telephone Service) is commonly referred to as the Public Switched Telephone Network (PSTN). The PSTN is the traditional circuit-switched telephone network that has been in use for many years, providing infrastructure and services for public telecommunication.",['https://www.techopedia.com/definition/4597/plain-old-telephone-service-pots'],1,google_5_connecting_to_the_internet,1,0.9999980183344636
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,"A baud rate refers to the number of signal changes or symbols transmitted per second, which is often equivalent to the number of bits per second if each signal change represents one bit.",['https://en.wikipedia.org/wiki/Baud'],1,google_5_connecting_to_the_internet,0.95,0.9999492653220473
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"Duke University graduate students Tom Truscott and Jim Ellis conceived the idea of Usenet in 1979, and it was established in 1980. Usenet is a worldwide distributed discussion system that is still in use today.","['https://en.wikipedia.org/wiki/Usenet', 'https://www.livinginternet.com/u/ui_usenet.htm']",1,google_5_connecting_to_the_internet,0.95,0.9999107652316588
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,A modem is used to transfer data across a dial-up connection. It modulates and demodulates the analog signal to enable digital data transmission over telephone lines.,['https://www.britannica.com/technology/modem'],1,google_5_connecting_to_the_internet,1,0.9999557020111849
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,a,,Modems (modulator-demodulator) convert digital data from a computer into audible wavelengths (analog signals) that can be transmitted over the Plain Old Telephone Service (POTS). Modems modulate an analog carrier signal to encode digital information and also demodulate such a carrier signal to decode the transmitted information.,"['https://www.techopedia.com/definition/24963/plain-old-telephone-service-pots', 'https://en.wikipedia.org/wiki/Modem']",1,google_5_connecting_to_the_internet,1,0.999846533247227
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1
",,c,c,,"T1 stands for Transmission System 1, which is a type of digital transmission service commonly used in North America to transmit voice and data between networks and devices.",['https://www.techopedia.com/definition/5063/t1-carrier-t1'],1,google_5_connecting_to_the_internet,1,0.9999821644040562
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec
",,b,b,,A T1 line has a speed of 1.544 megabits per second (Mb/sec).,['https://www.fcc.gov/general/special-access-rates-services-and-facilities-provided-incumbent-local-exchange-carriers'],1,google_5_connecting_to_the_internet,1,0.9999313858390593
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"Cable internet connections are a type of broadband connection, which means they offer high-speed internet access. They are not wireless; instead, they use coaxial cables for data transmission. Cable internet is not a dial-up connection; dial-up uses a standard phone line to establish a connection and is much slower. Cable internet connections often involve shared bandwidth, meaning the connection is shared with other users in the local area, which can affect speeds during peak usage times.","['https://www.fcc.gov/consumers/guides/broadband-speed-guide', 'https://www.cabletv.com/blog/cable-internet-works']",1,google_5_connecting_to_the_internet,0.99,0.9999996871837189
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,d",,"PPP (Point to Point Protocol) uses various subprotocols to establish and maintain a connection. The Link Control Protocol (LCP) is used for establishing, configuring, and testing the data-link connection. The Network Control Protocol (NCP) is used for allowing multiple network layer protocols to be used on the PPP connection. FCS (Frame Check Sequence) is a part of the PPP frame structure used for error checking, not a subprotocol, and 'Compression' refers to a capability or feature within PPP but is not a subprotocol itself.","['https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/25647-understanding-ppp-chap.html', 'https://www.ietf.org/rfc/rfc1661.txt']",1,google_5_connecting_to_the_internet,0.95,0.997207484159411
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,"The demarcation point for fiber technologies, where the fiber optic signal is converted to an electrical signal that can be used by the customer's equipment, is called an Optical Network Terminal (ONT).",['https://en.wikipedia.org/wiki/Optical_network_terminal'],1,google_5_connecting_to_the_internet,0.95,0.999985978860297
