Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
21,Which of the following commands checks the status of the interfaces?,"a. show interface
b. show status
c. show interface status
d. show status interface
",,c,a,,The correct command to check the status of the interfaces is 'show interface'. This command provides detailed information about the status and configuration of all interfaces on the device.,['https://www.cisco.com/c/en/us/support/docs/ip/interface-mappings/116126-problemsolution-product-interfaces-00.html'],0,chapter2_ethernet_lans,0.95,0.9999679795226664,0.0
22,You are in console line configuration mode. Which of the following commands would place you in enable mode?,"a. end
b. back
c. enable
d. change
",,a,c,,The 'enable' command is used to enter enable mode from console line configuration mode in Cisco IOS. Typing 'enable' will transition you to privileged exec mode where you can make configuration changes.,['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fundamentals/configuration/15_sy/fundamentals-15-sy-book/cf-cli-exec-modes.html'],0,chapter2_ethernet_lans,1.0,0.999998852758658,0.0
23,Which of the following commands copies the configuration from RAM into NVRAM,"a. copy running-config startup-config
b. copy startup-config running-config
c. copy ram nvram
d. copy nvram ram
",,a,a,,"The correct command to copy the configuration from RAM into NVRAM is 'copy running-config startup-config'. This command saves the running configuration to the startup configuration, which is stored in NVRAM.",['https://www.cisco.com/c/en/us/support/docs/ios-nx-os-software/ios-software-releases-121-mainline/15096-xcopy.html'],1,chapter2_ethernet_lans,1.0,0.9999609467545978,1.0
24,"The command that configures the switch as a DHCP client to discover its IPv4 address, mask, and default gateway is ip address dhcp.","a. TRUE
b. FALSE
",,a,b,,"The statement is FALSE. The correct command to configure a switch as a DHCP client to discover its IPv4 address, mask, and default gateway is 'ip address dhcp' under the interface configuration mode, not just 'ip address dhcp' alone.",['https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst3750/software/release/12-2_25_see/configuration/guide/scg/swdhcp82.html'],0,chapter2_ethernet_lans,0.95,0.9983578269441602,0.0
25,In which of the following modes of the CLI could you configure the duplex setting for interface Fast Ethernet 0/2?,"a. Global configuration mode
b. Enable mode
c. Interface configuration mode
d. VLAN mode
",,c,c,,"The correct mode to configure the duplex setting for a specific interface like Fast Ethernet 0/2 is the interface configuration mode. In this mode, you can configure parameters specific to individual interfaces, such as duplex settings, speed, IP address, etc.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/configuration/xe-16-6/ir-xe-16-6-book/ir-interface-command-mode.html'],1,chapter2_ethernet_lans,1.0,0.9999955150656572,1.0
26,Which of the following commands administratively enables an interface,"a. shutdown
b. no shutdown
c. enable interface
d. interface enable
",,b,b,,"The correct command to administratively enable an interface is 'no shutdown'. This command brings the interface up and allows traffic to pass through it. Conversely, the 'shutdown' command disables the interface.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/interface/command/ir-interfaces-cr-book/ir-i1.html'],1,chapter2_ethernet_lans,1.0,0.9999961110815618,1.0
27,"Switches use STP to prevent loops by causing some interfaces to block, meaning that they do not send or receive frames.","a. TRUE
b. FALSE
",,a,a,,The statement is TRUE. Switches use Spanning Tree Protocol (STP) to prevent loops in the network by blocking certain redundant paths. This blocking of interfaces helps in ensuring there are no loops that could lead to broadcast storms or other network issues.,['https://www.cisco.com/c/en/us/support/docs/lan-switching/spanning-tree-protocol/5234-5.html'],1,chapter2_ethernet_lans,1.0,0.9932063426432504,1.0
28,A Layer 2 switch configuration places all its physical ports into VLAN 2. The IP addressing plan shows that address 175.28.1.150 (with mask 255.255.255.0) is reserved for use by this new LAN switch and that 175.28.1.254 is already configured on the router connected to that same VLAN. The switch needs to support SSH connections into the switch from any subnet in the network. Which of the following commands are part of the required configuration in this case? (Choose two answers.),"a. The switch cannot support SSH because all its ports connect to VLAN 2, and the IP address must be configured on interface VLAN 1.
b. The ip address 175.28.1.150 255.255.255.0 command in interface vlan 2 configuration mode.
c. The ip default-gateway 175.28.1.254 command in global configuration mode.
d. The ip address 172.16.2.250 255.255.255.0 command in interface vlan 1 configuration mode.
e. The ip default-gateway 175.28.1.150 command in global configuration mode.
",,"b,c","b,c",,"Option B is correct because to enable SSH connections to the switch, an IP address needs to be configured on the VLAN interface that the switch ports are associated with, which in this case is VLAN 2. The 'ip address 175.28.1.150 255.255.255.0' command in interface VLAN 2 configuration mode assigns the specified IP address to the switch for that VLAN. Option C is also correct because the 'ip default-gateway 175.28.1.254' command in global configuration mode sets the default gateway for the switch to reach devices in other subnets, ensuring proper routing for SSH connections.",['https://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/40460-ssh-vty-access.html'],1,chapter2_ethernet_lans,0.9,0.9998321567162602,1.0
29,Which of the following commands lists the content of the startup-config (initial config) file.,"a. show startup-config
b. show initial-config
c. show content-config
d. show file-config
",,a,a,,The correct command to display the content of the startup-config file is 'show startup-config'. This command is used to view the configuration that is loaded when the device boots up.,['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fundamentals/command/cf-show-commands.html'],1,chapter2_ethernet_lans,0.95,0.999994323034814,1.0
30,You want to configure the console password with password examsdigest. Which of the following commands will you type to meet the requirement?,"a. Examsdigest#(config)# line console 0
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# exit
b. Examsdigest#(config)# enable secret examsdigest
c. Examsdigest#(config)# enable console examsdigest
d. Examsdigest#(config)# live vty 0 15
Examsdigest#(config-line)# password examsdigest
Examsdigest#(config-line)# login
Examsdigest#(config-line)# end
",,a,a,,"The correct command sequence to configure the console password is to enter the line console configuration mode with 'line console 0', then set the password with 'password examsdigest', and finally enable password checking with 'login'. Exiting the configuration mode is done with 'exit'.",['https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_console/configuration/xe-3s/sec-usr-console-xe-3s-book/sec-usr-console.html'],1,chapter2_ethernet_lans,1.0,0.999993965425808,1.0
