Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
204,"The customer edge device is typically a router, that sits at a customer site on MPLS networks and connects to a provider edge router (PE router) to take communications from a customer site to a provider side.","a. TRUE
b. FALSE
",,a,a,,,[],1,chapter12_network_design_architecture,1,1
205,____________________ is a network design that connects a link between each pair of nodes.,"a. Full Mesh
b. Star
c. Hybrid
d. Partial Mesh
",,a,a,,,[],1,chapter12_network_design_architecture,1,1
206,"With PoE, a LAN switch can act as the Power Sourcing Equipment (PSE).","a. TRUE
b. FALSE
",,a,a,,,[],1,chapter12_network_design_architecture,1,1
208,Which of the following roles of campus switches provides a connection point for end-user devices?,"a. Access
b. Distribution
c. Core
d. Campus
",,a,a,,,[],1,chapter12_network_design_architecture,1,1
209,Which of the following roles of campus switches provides an aggregation point for access switches?,"a. Access
b. Distribution
c. Core
d. Campus
",,b,b,,,[],1,chapter12_network_design_architecture,1,1
210,Which of the following roles of campus switches aggregates distribution switches in very large campus LANs?,"a. Access
b. Distribution
c. Core
d. Campus
",,c,c,,,[],1,chapter12_network_design_architecture,1,1
211,Your company plans to start using public cloud service and now you are considering different WAN options. Your main concern is security by keeping the data private while also providing good QoS services. Which of the following options are under consideration? (Choose two answers.),"a. Using private WAN connections directly to the cloud provider
b. Using an Internet connection without VPN
c. Using an Internet connection with VPN
d. Using an intercloud exchange
",,"a,d","a,c",,,[],0,chapter12_network_design_architecture,1,1
212,"One of the differences between Public Cloud and Private Cloud (On-Premise) is that on the Public Cloud solution you are responsible for all management, maintenance, and updating of data centers.","a. TRUE
b. FALSE
",,b,b,,,[],1,chapter12_network_design_architecture,1,1
213,"A company uses a Metro Ethernet WAN with an Ethernet LAN (E-LAN) service, with the company headquarters plus 20 remote sites connected to the service. The enterprise uses OSPF at all sites, with one router connected to the service from each site. Which of the following are true about the Layer 3 details most likely used with this service and design? (Choose all that apply)","a. The WAN uses one IP subnet
b. The WAN uses 20 or more IP subnets
c. A remote site router would have one OSPF neighbor
d. A remote site router would have 20 OSPF neighbors
",,"a,d",c,,,[],0,chapter12_network_design_architecture,1,1
214,The process of dividing a physical server into multiple unique and isolated virtual servers by means of a software application is called server _________________.,"a. Integration
b. Isolation
c. Virtualization
d. Segmentation
",,c,c,,,[],1,chapter12_network_design_architecture,1,1
215,"Which cloud “As a Service” model is a form of cloud computing that delivers fundamental compute, network, and storage resources to consumers on-demand, over the internet, and on a pay-as-you-go basis?","a. Software as a Service
b. Platform as a Service
c. Infrastructure as a Service
d. Database as a Service
",,c,c,,,[],1,chapter12_network_design_architecture,1,1
216,Which cloud “As a Service” model is a software distribution model in which a third-party provider hosts applications and makes them available to customers over the Internet?,"a. Software as a Service
b. Platform as a Service
c. Infrastructure as a Service
d. Database as a Service
",,a,a,,,[],1,chapter12_network_design_architecture,1,1
217,"Which cloud “As a Service” model is a complete development and deployment environment in the cloud, with resources that enable you to deliver everything from simple cloud-based apps to sophisticated, cloud-enabled enterprise applications?","a. Software as a Service
b. Platform as a Service
c. Infrastructure as a Service
d. Database as a Service
",,b,b,,,[],1,chapter12_network_design_architecture,1,1
