Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Exchange
b. Phone Switched Transport Network
c. Public Available Telephone Network
d. Public Switched Telephone Network
e. Public Switched Telephone Exchange
",,d,d,,"POTS, or Plain Old Telephone Service, is another term for the Public Switched Telephone Network (PSTN). The PSTN is the traditional circuit-switched telephone network that has been in use for many decades. It is a global system that provides voice communication services over analog telephone lines.","['https://en.wikipedia.org/wiki/Plain_old_telephone_service', 'https://www.techopedia.com/definition/9008/plain-old-telephone-service-pots']",1,5_connecting_to_the_internet,0.95,1,1.0
72,A baud rate is a measurement of the number of ______________________.,"a. bytes that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bits that can be sent across a telephone line every minute
",,c,c,,"Baud rate is a measure of the number of signal or symbol changes that occur per second. In digital systems, a symbol change typically corresponds to one bit. Therefore, baud rate measures the number of bits that can be transmitted per second over a communication channel like a telephone line.","['https://en.wikipedia.org/wiki/Baud', 'https://www.techopedia.com/definition/2415/baud-rate', 'https://www.computerhope.com/jargon/b/baudrate.htm']",1,5_connecting_to_the_internet,0.95,1,1.0
73,What system did Duke grads build that is still in use today?,"a. PSTN
b. POTS
c. DSL
d. USENET
",,d,d,,"USENET, a worldwide distributed discussion system, was developed by graduate students Tom Truscott and Jim Ellis at Duke University in 1979. It allowed users to read and post messages to newsgroups. While not as widely used today, USENET is still accessible and some newsgroups remain active. PSTN (Public Switched Telephone Network) and POTS (Plain Old Telephone Service) refer to the traditional telephone system, while DSL (Digital Subscriber Line) is a family of technologies that provide internet access over telephone lines. These were not specifically created by Duke graduates.","['https://en.wikipedia.org/wiki/Usenet', 'https://www.livinginternet.com/u/ui_alt.htm']",1,5_connecting_to_the_internet,0.95,1,1.0
74,Which device is used to transfer data across a dial-up connection?,"a. USENET
b. Modem
c. Ethernet cables
d. ATM
",,b,b,,A modem (modulator-demodulator) is used to transfer data across a dial-up connection. It converts digital signals from a computer into analog signals that can be transmitted over telephone lines and then converts the analog signals back into digital signals at the receiving end.,"['https://www.britannica.com/technology/modem', 'https://computer.howstuffworks.com/modem.htm']",1,5_connecting_to_the_internet,0.95,1,1.0
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Modulating electrical charges
b. PSTN
c. Audible wavelengths
d. Baud rates
",,c,c,,Modems convert digital data from computers into audible analog signals (wavelengths) that can be transmitted over Plain Old Telephone Service (POTS) lines. The modem modulates the digital data into these audible tones for transmission and demodulates the tones back into digital data on the receiving end.,"['https://en.wikipedia.org/wiki/Modem', 'https://computer.howstuffworks.com/modem.htm']",1,5_connecting_to_the_internet,0.95,1,1.0
76,T1 is short for __________.,"a. Transportation System 1
b. Transmission 1
c. Transmission System 1
d. Transportation 1
",,c,b,,"T1 is short for Transmission 1. It refers to the original transmission system used in telecommunications, capable of transmitting digital signals at 1.544 Mbps. T1 lines are commonly used to provide dedicated point-to-point digital connections for voice and data communications.","[""Newton, H. (2006). Newton's Telecom Dictionary (22nd ed.). CMP Books."", 'Horak, R. (2007). Telecommunications and Data Communications Handbook (2nd ed.). Wiley-Interscience.']",0,5_connecting_to_the_internet,0.95,1,0.0
77,How fast is a T1 line?,"a. 44.763 Mb/sec
b. 128 Mb/sec
c. 1 Mb/sec
d. 1.544 Mb/sec
",,d,d,,"A T1 line is a dedicated digital carrier line that provides a transmission rate of 1.544 megabits per second (Mb/sec). This is equivalent to 24 voice channels, each operating at 64 kilobits per second (kb/sec). T1 lines are commonly used for business-level Internet access and point-to-point connectivity.","['https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/white_paper_c11-689171.html', 'https://www.verizon.com/business/resources/glossary/what-is-a-t1-line/']",1,5_connecting_to_the_internet,0.95,1,1.0
78,Select all statements that are true of cable internet connections.,"a. They're shared bandwidth connections
b. They're dial-up connections
c. They're broadband connections
d. They're wireless connections
",,"a,c","a,c",,"Cable internet connections are shared bandwidth and broadband connections. They are not dial-up or wireless connections. Shared bandwidth means the connection is shared among multiple users in a neighborhood, which can lead to slower speeds during peak usage times. Broadband refers to high-speed internet access that is faster than traditional dial-up connections.","['https://www.fcc.gov/consumers/guides/getting-broadband', 'https://www.highspeedinternet.com/resources/how-does-cable-internet-work']",1,5_connecting_to_the_internet,0.95,1,1.0
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. LCP
b. Compression
c. FCS
d. NCP
",,"a,d","a,d",,"The two main subprotocols of PPP are:a) Link Control Protocol (LCP): Establishes, configures, and tests the data-link connection. It is responsible for negotiating connection parameters.  d) Network Control Protocol (NCP): Responsible for configuring different network-layer protocols over the data link. Each network-layer protocol (like IP, IPX, AppleTalk, etc.) has its own NCP.b) Compression is an optional feature that can be negotiated by LCP, but not a subprotocol itself.c) Frame Check Sequence (FCS) is a field in the PPP frame for error detection, but not a subprotocol.","['https://en.wikipedia.org/wiki/Point-to-Point_Protocol', 'https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/10241-ppp-overview.html']",1,5_connecting_to_the_internet,0.95,1,1.0
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. DSLAM
d. FTTX
",,a,a,,"The demarcation point for fiber technologies is called an Optical Network Terminal (ONT). The ONT is the device that terminates the fiber optic line from the service provider and converts it into a usable interface for the customer, such as Ethernet. It serves as the point of division between the service provider's network and the customer's premises wiring.","['https://www.juniper.net/documentation/us/en/software/junos/broadband-cos/topics/concept/dsl-optical-network-terminal-overview.html', 'https://www.cisco.com/c/en/us/products/collateral/switches/me-4600-series-multiservice-optical-access-platform/datasheet-c78-730446.html']",1,5_connecting_to_the_internet,0.95,1,1.0
