Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence,Score-right-minus-wrong
1,Which of the following is an example of a network layer (layer 3) protocol in the five-layer TCP/IP model?,"a. IP
b. Ethernet
c. UDP
d. TCP
",,a,a,,"IP (Internet Protocol) operates at the network layer (layer 3) of the TCP/IP model, providing logical addressing and routing functions to enable data packets to be routed across networks.",['https://www.cloudflare.com/learning/ddos/glossary/tcp-ip/'],1,1_basics_computer_networking,1.0,0.9999955150656572,1.0
2,Which of these is an example of something that works on the application layer (layer 5 of the five-layer TCP/IP model)?,"a. A router
b. A browser
c. UDP
d. An ethernet cable
",,b,b,,A browser operates at the application layer (layer 5) of the TCP/IP model. It is responsible for interacting with software applications and presenting data to users.,['https://www.cloudflare.com/learning/ddos/glossary/tcp-ip-model/'],1,1_basics_computer_networking,0.95,0.9999934886141992,1.0
3,Which layer of the five layer TCP/IP model deals with cabling and connectors?,"a. The network layer
b. The transport layer
c. The physical layer
d. The application layer
",,c,c,,"The physical layer of the TCP/IP model deals with cabling and connectors. It is responsible for the actual physical connection between devices, including the transmission and reception of raw data bits over a physical medium.",['https://www.geeksforgeeks.org/tcp-ip-model/'],1,1_basics_computer_networking,1.0,0.9999955150656572,1.0
4,Which level of the TCP/IP five-layer model does a router operate on?,"a. The data link layer
b. The transport layer
c. The application layer
d. The network layer
",,d,d,,"A router operates at the network layer of the TCP/IP five-layer model. The network layer is responsible for routing packets between networks, making decisions based on IP addresses.",['https://www.cloudflare.com/learning/network-layer/what-is-the-network-layer/'],1,1_basics_computer_networking,1.0,0.9999800187796272,1.0
5,On which layer are Ethernet standards and some wireless technologies operating?,"a. The network layer
b. The transport layer
c. The physical layer
d. The data link layer
",,d,d,,"Ethernet standards and some wireless technologies operate on the data link layer. The data link layer is responsible for node-to-node communication, providing the means for the exchange of data over a physical medium.",['https://www.geeksforgeeks.org/layers-of-osi-model/'],1,1_basics_computer_networking,0.95,0.9999917005724404,1.0
6,Which of these allows connections from many devices and inspects the contents of ethernet protocol data?,"a. A hub
b. A collision domain
c. A cable
d. A switch
",,d,d,,"A switch allows connections from many devices and inspects the contents of Ethernet protocol data by using MAC addresses to forward data only to the intended recipient, enhancing network security and efficiency.",['https://www.cisco.com/c/en/us/support/docs/lan-switching/ethernet/19237-43.html'],1,1_basics_computer_networking,0.95,0.9999953958625992,1.0
7,What does LAN stand for?,"a. Local area network
b. Little area network
c. Large area network
d. Locally available network
",,a,a,,"LAN stands for Local Area Network, which is a network that interconnects computers and devices in a limited area such as a home, school, office building, or closely positioned group of buildings.",['https://www.cloudflare.com/learning/network-layer/what-is-a-local-area-network/'],1,1_basics_computer_networking,1.0,0.9999950382530096,1.0
8,What's a router?,"a. A physical layer device that prevents crosstalk
b. A device that knows how to forward data between independent networks.
c. A more advanced version of a switch
d. A physical layer device that allows connections for many computers at once
",,b,b,,A router is a device that operates at the network layer (Layer 3) of the OSI model and is responsible for forwarding data packets between independent networks. Routers use routing tables to determine the best path for forwarding the packets.,"['https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/what-is-a-router.html', 'https://www.cloudflare.com/learning/network-layer/what-is-a-router/']",1,1_basics_computer_networking,0.95,0.999994323034814,1.0
9,Which of these is a server?,"a. A device operating on the data link layer that connects many devices together and inspects ethernet protocol data
b. A device that forwards data between multiple networks
c. Something receiving data from something providing data
d. Something providing data to something requesting the data
",,d,d,,Option d correctly describes a server as something that provides data to something requesting the data. Servers are devices or software applications that serve data or services to clients upon request.,['https://www.cloudflare.com/learning/network-layer/what-is-a-server/'],1,1_basics_computer_networking,1.0,0.5907842662158677,1.0
10,What kind of wiring is in cables that communicate in voltage changes that are received by the receiving device as ones and zeros?,"a. Fiber
b. Aluminum
c. Gold
d. Copper
",,d,d,,Copper wiring is commonly used in cables for communication where voltage changes represent digital signals (ones and zeros). Copper is a good conductor of electricity and is widely used in networking cables for transmitting data.,['https://www.techopedia.com/definition/2470/copper-cable'],1,1_basics_computer_networking,0.95,0.9999881244990144,1.0
11,What modulation type is used for computer networks?,"a. RJ45
b. Simplex communication
c. Line coding
d. Line crimping
",,c,c,,The modulation type used for computer networks is line coding. Line coding is a method used for converting digital data to digital signals. It is essential for transmitting data over network communication channels.,['https://www.geeksforgeeks.org/line-coding-techniques-in-digital-communication/'],1,1_basics_computer_networking,1.0,0.9999951574563252,1.0
12,What is the difference between full duplex and half duplex?,"a. Half duplex occurs when hubs are in use; full duplex occurs when switches are in use.
b. Full duplex allows communications in two directions at the same time; half duplex means that only one side can communicate at a time.
c. Full duplex is a form of simplex communications.
d. Full duplex is slower than half duplex.
",,b,b,,"Full duplex allows communication in both directions simultaneously, enabling devices to send and receive data at the same time. In contrast, half duplex only allows communication in one direction at a time, meaning that devices must take turns transmitting and receiving data.",['https://www.geeksforgeeks.org/half-duplex-vs-full-duplex-communication/'],1,1_basics_computer_networking,1.0,0.9999983759447189,1.0
13,The ____________ consists of devices and is responsible for sending signals between devices.,"a. network layer
b. data link layer
c. physical layer
d. modulation
",,c,c,,"The physical layer is responsible for sending signals between devices. It deals with the physical connection between devices, including the transmission and reception of raw data bits over a physical medium.",['https://www.geeksforgeeks.org/layers-of-osi-model/'],1,1_basics_computer_networking,1.0,0.9999914621674476,1.0
14,What is the most common type of cabling used for connecting computing devices?,"a. Power Cable
b. Twisted Pair Cable
c. VGA Cable
d. SATA Cable
",,b,b,,"The most common type of cabling used for connecting computing devices is Twisted Pair Cable. It is widely used for Ethernet connections in local area networks (LANs) due to its cost-effectiveness, flexibility, and ability to reduce electromagnetic interference.",['https://www.lifewire.com/what-is-twisted-pair-cabling-817420'],1,1_basics_computer_networking,1.0,0.9999992103693116,1.0
15,Which of the following are category types of Twisted Pair Ethernet cable? (Select all that apply),"a. Unshielded Twisted Pair (UTP).
b. Foiled Twisted Pair (FTP).
c. Shielded Twisted Pair (STP).
d. USB Cable
",,"a,b,c","a,b,c",,"The category types of Twisted Pair Ethernet cable include Unshielded Twisted Pair (UTP), Foiled Twisted Pair (FTP), and Shielded Twisted Pair (STP). These categories define the level of shielding and performance of the cables. USB Cable is not a category type of Twisted Pair Ethernet cable.",['https://www.flukenetworks.com/blog/cabling-chronicles/difference-between-unshielded-twisted-pair-utp-and-shielded-twisted-pair-stp-cabling'],1,1_basics_computer_networking,1.0,0.9999979439254638,1.0
16,How many octets are there in a MAC address?,"a. 5
b. 8
c. 4
d. 6
",,d,d,,"There are 6 octets in a MAC address. Each octet is 8 bits long, making a total of 48 bits for the entire MAC address.",['https://en.wikipedia.org/wiki/MAC_address'],1,1_basics_computer_networking,1.0,0.9999984951481324,1.0
17,What address is used for Ethernet broadcasts?,"a. 00:00:00:00:00:00
b. 11:11:11:11:11:11
c. FF:FF:FF:FF:FF:00
d. FF:FF:FF:FF:FF:FF
",,d,d,,"Ethernet broadcasts use the MAC address FF:FF:FF:FF:FF:FF, where all bits are set to 1, indicating a broadcast to all devices on the network.",['https://www.geeksforgeeks.org/ethernet-frame-broadcast-and-multicast'],1,1_basics_computer_networking,1.0,0.9999963494876632,1.0
18,What is a cyclical redundancy check?,"a. A way for two computers to synchronize their clocks.
b. The actual data being transported by an Ethernet frame.
c. A technique that allows for multiple logical LANs to operate on the same equipment.
d. A mathematical calculation used to ensure that all data arrived intact.
",,d,d,,"A cyclical redundancy check (CRC) is a mathematical calculation performed on data to detect errors during transmission. It is used to ensure that the data received is the same as the data sent, providing a way to verify data integrity.",['https://www.geeksforgeeks.org/cyclic-redundancy-check-crc/'],1,1_basics_computer_networking,1.0,0.9999934886141992,1.0
19,Which of the following are ways for transmitting data at the Ethernet level? (Select all that apply),"a. Multicast
b. Duplex
c. Broadcast
d. Unicast
",,"a,c,d","a,c,d",,"Data can be transmitted at the Ethernet level using multicast, broadcast, and unicast methods. 
- Multicast: Data is sent from one device and transmitted to a specific group of devices. 
- Broadcast: Data is sent from one device and transmitted to all devices on the network. 
- Unicast: Data is sent from one device to another single, specific device.",['https://www.geeksforgeeks.org/unicast-broadcast-and-multicast-in-computer-network/'],1,1_basics_computer_networking,1.0,0.9790602300811054,1.0
20,Which of the following are parts of an Ethernet frame? (Select all that apply),"a. Broadcast
b. Data payload
c. EtherType field
d. Preamble
",,"b,c,d","b,c,d",,"The Data payload contains the actual data being transmitted, the EtherType field specifies the protocol being used in the Ethernet frame, and the Preamble is used for synchronization and timing purposes. Broadcast is not a part of an Ethernet frame.","['https://www.geeksforgeeks.org/ethernet-frame-format/', 'https://www.cloudflare.com/learning/network-layer/what-is-an-ethernet-frame/']",1,1_basics_computer_networking,1.0,0.9999619899367508,1.0
