Question Number,Question Text,Choices,Valid Question?,Correct Answer,LLM Answer,Correct Explanation,LLM Explanation,URLs,Correct?,Topic,LLM Confidence,logprob Confidence
71,"Another term for POTS, or Plain Old Telephone Service, is _______________.","a. Public Available Telephone Network
b. Public Switched Telephone Exchange
c. Phone Switched Transport Network
d. Public Switched Telephone Network
e. Public Available Telephone Exchange
",,d,d,,"POTS, or Plain Old Telephone Service, is another term for the Public Switched Telephone Network (PSTN). The PSTN is the aggregate of the world's public circuit-switched telephone networks, which provides infrastructure and services for public telecommunication.","['https://en.wikipedia.org/wiki/Plain_old_telephone_service', 'https://en.wikipedia.org/wiki/Public_switched_telephone_network']",1,google_5_connecting_to_the_internet,0.95,1
72,A baud rate is a measurement of the number of ______________________.,"a. bits that can be sent across a telephone line every minute
b. bytes that can be sent across a telephone line every second
c. bits that can be sent across a telephone line every second
d. bytes that can be sent across a telephone line every minute
",,c,c,,A baud rate measures the number of bits that can be sent across a telephone line every second. It represents the signaling rate or symbol rate of a communication channel.,"['Forouzan, B. A. (2013). Data Communications and Networking (5th ed.). McGraw-Hill.', 'https://en.wikipedia.org/wiki/Baud']",1,google_5_connecting_to_the_internet,0.95,1
73,What system did Duke grads build that is still in use today?,"a. POTS
b. PSTN
c. USENET
d. DSL
",,c,c,,"USENET, a worldwide distributed discussion system, was developed by graduate students Tom Truscott and Jim Ellis at Duke University in 1979. It allowed users to read and post messages (called articles or posts) to one or more categories, known as newsgroups. USENET was one of the first and most significant examples of a large scale computer network for communication between users. While its usage has declined with the rise of web forums, blogs, and social media, USENET is still in use today by some individuals and organizations.","['https://en.wikipedia.org/wiki/Usenet', 'https://www.britannica.com/technology/USENET', 'Kurose, James F., and Keith W. Ross. Computer Networking: A Top-Down Approach. Pearson, 2017.']",1,google_5_connecting_to_the_internet,0.95,1
74,Which device is used to transfer data across a dial-up connection?,"a. ATM
b. Modem
c. Ethernet cables
d. USENET
",,b,b,,A modem (modulator-demodulator) is used to transfer data across a dial-up connection. It converts digital signals from a computer into analog signals that can be transmitted over telephone lines and then converts the analog signals back into digital signals at the receiving end.,"['Computer Networking: A Top-Down Approach, 7th Edition by James Kurose and Keith Ross', 'https://en.wikipedia.org/wiki/Modem']",1,google_5_connecting_to_the_internet,0.95,1
75,Modems take data that computers can understand and turn them into _____ that can be transmitted over POTS.,"a. Audible wavelengths
b. Baud rates
c. Modulating electrical charges
d. PSTN
",,a,a,,Modems convert digital data from computers into analog signals (audible wavelengths) that can be transmitted over Plain Old Telephone Service (POTS) lines. The modem modulates the digital data into audible tones for transmission and demodulates the tones back into digital data on the receiving end.,"['CompTIA A+ Certification All-in-One Exam Guide, Tenth Edition (Exams 220-1001 & 220-1002) by Mike Meyers', 'Networking All-in-One For Dummies, 7th Edition by Doug Lowe']",1,google_5_connecting_to_the_internet,0.95,1
76,T1 is short for __________.,"a. Transmission 1
b. Transportation 1
c. Transmission System 1
d. Transportation System 1
",,c,a,,"T1, in the context of computer networking, stands for 'Transmission 1'. It refers to a digital transmission system that carries data at the rate of 1.544 Mbps (megabits per second). T1 lines are commonly used for connecting networks across remote distances and were widely used in the early days of the Internet.","['https://en.wikipedia.org/wiki/Digital_Signal_1', 'https://www.cisco.com/c/en/us/products/collateral/interfaces-modules/1-port-t1-e1-network-interface-modules/product_data_sheet0900aecd80274416.html']",0,google_5_connecting_to_the_internet,0.95,1
77,How fast is a T1 line?,"a. 128 Mb/sec
b. 1.544 Mb/sec
c. 1 Mb/sec
d. 44.763 Mb/sec
",,b,b,,"A T1 line is a dedicated digital carrier line that supports data rates of 1.544 megabits per second (Mb/sec). It is a widely used leased line option for businesses requiring reliable, high-speed data connectivity. The other options listed are incorrect: 128 Mb/sec is the speed of OC-3 lines, 1 Mb/sec is a common broadband internet speed, and 44.763 Mb/sec is the speed of a T3 line.","['https://www.cisco.com/c/en/us/products/collateral/wan-switching/t1-e1-performance/product_data_sheet09186a00800a3cc1.html', 'https://www.techtarget.com/searchnetworking/definition/T1-line']",1,google_5_connecting_to_the_internet,0.95,1
78,Select all statements that are true of cable internet connections.,"a. They're wireless connections
b. They're broadband connections
c. They're dial-up connections
d. They're shared bandwidth connections
",,"b,d","b,d",,"Cable internet connections are broadband connections that provide high-speed internet access using the same coaxial cables that deliver cable television signals. They are not wireless connections, as they require a physical cable connection to the home. Cable connections are also not dial-up connections, which use telephone lines and are much slower. One characteristic of cable internet is that the bandwidth is shared among users in the same neighborhood, which can lead to slower speeds during peak usage times.","['https://www.fcc.gov/consumers/guides/getting-broadband', 'https://www.highspeedinternet.com/resources/cable-vs-dsl-vs-fiber', 'https://www.cisco.com/c/en/us/solutions/collateral/executive-perspectives/annual-internet-report/white-paper-c11-741490.html']",1,google_5_connecting_to_the_internet,0.95,1
79,What are the subprotocols for PPP (Point to Point Protocol)? Select all that apply.,"a. FCS
b. LCP
c. Compression
d. NCP
",,"b,d","b,d",,"The two main subprotocols of PPP are:b. LCP (Link Control Protocol): Establishes, configures, and tests the data-link connection. It is responsible for negotiating authentication, encryption, and compression options.d. NCP (Network Control Protocol): A series of protocols, each of which is specific to a particular network layer protocol, such as IPCP for IP, IPXCP for IPX, etc. NCPs are responsible for configuring the network layer protocol parameters.The other options are not subprotocols of PPP:a. FCS (Frame Check Sequence): A field in the PPP frame used for error detection, but not a subprotocol.c. Compression: A feature that can be negotiated by LCP, but not a subprotocol itself.","['Forouzan, B. A. (2013). Data Communications and Networking (5th ed.). McGraw-Hill Education.', 'https://www.cisco.com/c/en/us/support/docs/wan/point-to-point-protocol-ppp/10241-ppp-overview.html']",1,google_5_connecting_to_the_internet,0.95,1
80,What do you call the demarcation point for fiber technologies?,"a. ONT
b. FTTN
c. FTTX
d. DSLAM
",,a,a,,The demarcation point for fiber technologies is called an Optical Network Terminal (ONT). The ONT is the device installed at the customer premises that terminates the fiber optic line from the service provider and converts the optical signal into electrical signals for connection to the customer's network devices.,"['https://www.juniper.net/documentation/en_US/junos/topics/concept/gpon-ont-overview.html', 'https://www.cisco.com/c/en/us/products/collateral/switches/me-4600-series-multiservice-optical-access-platform/datasheet-c78-730445.html']",1,google_5_connecting_to_the_internet,0.95,1
